full_player_name,team,position,Yards,Receptions,Touchdowns,FirstDowns,HalfPPR,HalfPPR_PPFD,PosRank
Jeremy Sprinkle,WAS,TE,41,5,1,3,12.600000000000001,14.100000000000001,84
Keith Ford,BUF,RB,100,3,0,5,11.5,14,100
A.J. Derby,MIA,TE,48,3,1,3,12.3,13.8,85
Derek Carr,OAK,QB,48,1,1,5,11.3,13.799999999999999,35
NA,NA,NA,66,1,1,1,13.100000000000001,13.600000000000001,3
Xavier Grimble,PIT,TE,86,6,0,4,11.6,13.6,86
Elijhaa Penny,NYG,RB,75,8,0,3,11.5,13,101
Mark Walton,CIN,RB,75,5,0,6,10,13,101
NA,NA,NA,50,0,1,4,11,13,4
Kevin White,CHI,WR,92,4,0,3,11.200000000000001,12.700000000000001,163
Mike Gillislee,NO,RB,52,1,1,2,11.700000000000001,12.700000000000001,103
Chris Manhertz,CAR,TE,52,2,1,1,12.2,12.7,87
Devonta Freeman,ATL,RB,91,5,0,2,11.600000000000001,12.600000000000001,104
Corey Coleman,NYG,WR,76,5,0,5,10.1,12.6,164
De'Anthony Thomas,KC,WR,35,3,1,3,11,12.5,165
Blake Bell,JAX,TE,67,8,0,3,10.700000000000001,12.200000000000001,88
Andy Dalton,CIN,QB,101,0,0,4,10.100000000000001,12.100000000000001,36
Charcandrick West,KC,RB,36,2,1,3,10.600000000000001,12.100000000000001,105
Tyler Conklin,MIN,TE,77,5,0,3,10.200000000000001,11.700000000000001,89
Josh Perkins,PHI,TE,67,5,0,4,9.2,11.2,90
Eli Manning,NYG,QB,24,0,1,5,8.4,10.9,37
Rashad Greene,JAX,WR,60,6,0,3,9,10.5,166
Detrez Newsome,LAC,RB,68,2,0,5,7.800000000000001,10.3,106
Russell Gage,ATL,WR,63,6,0,2,9.3,10.3,167
Matt Lengel,CIN,TE,17,3,1,2,9.200000000000001,10.200000000000001,91
D'Onta Foreman,HOU,RB,27,2,1,1,9.7,10.2,107
Joe Flacco,BAL,QB,52,0,0,10,5.2,10.2,38
David Grinnage,JAX,TE,61,6,0,2,9.100000000000001,10.100000000000001,92
Patrick DiMarco,BUF,RB,71,3,0,3,8.600000000000001,10.100000000000001,108
NA,NA,NA,74,1,0,3,7.9,9.4,5
Kamar Aiken,PHI,WR,53,6,0,2,8.3,9.3,168
Dwayne Harris,OAK,WR,52,6,0,2,8.200000000000001,9.2,169
Delanie Walker,TEN,TE,52,4,0,4,7.2,9.2,93
Kyle Allen,CAR,QB,19,0,1,2,7.9,8.9,39
Noah Brown,DAL,WR,54,5,0,2,7.9,8.9,170
Antony Auclair,TB,TE,48,7,0,1,8.3,8.8,94
Neal Sterling,NYJ,TE,47,6,0,2,7.7,8.7,95
Derrick Willies,CLE,WR,61,3,0,2,7.6000000000000005,8.600000000000001,171
Colt McCoy,WAS,QB,64,0,0,4,6.4,8.4,40
Eric Saubert,ATL,TE,48,5,0,2,7.300000000000001,8.3,96
Bobo Wilson,TB,WR,52,4,0,2,7.2,8.200000000000001,172
Jacob Hollister,NE,TE,52,4,0,2,7.2,8.2,97
NA,NA,NA,11,1,1,1,7.6,8.1,6
T.J. Logan,ARI,RB,39,7,0,1,7.4,7.9,109
NA,NA,NA,7,1,1,1,7.2,7.7,7
Tommy Bohanon,JAX,FB,41,6,0,1,7.1000000000000005,7.6000000000000005,7
Tyler Kroft,CIN,TE,36,4,0,4,5.6,7.6,98
Jawill Davis,NYG,WR,40,4,0,3,6,7.5,173
Ray-Ray McCloud,BUF,WR,40,5,0,2,6.5,7.5,173
Chad Beebe,MIN,WR,39,4,0,3,5.9,7.3999999999999995,175
Nick Foles,PHI,QB,33,1,0,7,3.8000000000000003,7.3,41
NA,NA,NA,2,1,1,1,6.7,7.2,8
NA,NA,NA,2,1,1,1,6.7,7.2,8
Roosevelt Nix,PIT,FB,42,4,0,2,6.2,7.2,8
David Morgan,MIN,TE,36,5,0,2,6.1000000000000005,7.1000000000000005,99
Roc Thomas,MIN,RB,51,2,0,2,6.1000000000000005,7.1000000000000005,110
Ryan Hewitt,IND,TE,1,1,1,1,6.6,7.1,100
Rico Gathers,DAL,TE,45,3,0,2,6,7.000000000000001,101
Brian Parker,DEN,TE,33,5,0,2,5.8,6.8,102
Mike Boone,MIN,RB,48,2,0,2,5.8,6.8,111
Ben Braunecker,CHI,TE,42,3,0,2,5.7,6.7,103
Jalen Tolliver,ARI,WR,37,3,0,3,5.2,6.7,176
NA,NA,NA,1,0,1,1,6.1,6.6,10
Auden Tate,CIN,WR,35,4,0,2,5.5,6.5,177
Byron Marshall,WAS,RB,39,4,0,1,5.9,6.4,112
Keith Smith,OAK,FB,23,5,0,3,4.8,6.3,9
Samaje Perine,WAS,RB,37,3,0,2,5.2,6.200000000000001,113
Javon Wims,CHI,WR,32,4,0,2,5.2,6.2,178
Marcedes Lewis,GB,TE,39,3,0,1,5.4,5.9,104
John Phillips,ARI,TE,38,3,0,1,5.300000000000001,5.800000000000001,105
Shelton Gibson,PHI,WR,48,1,0,1,5.300000000000001,5.800000000000001,179
Tre Madden,SEA,FB,38,2,0,2,4.800000000000001,5.800000000000001,10
NA,NA,NA,35,3,0,1,5.000000000000001,5.500000000000001,11
DeShone Kizer,GB,QB,40,0,0,3,4,5.5,42
River Cracraft,DEN,WR,44,1,0,1,4.9,5.4,180
Rishard Matthews,NYJ,WR,24,5,0,1,4.9,5.4,180
Dwayne Allen,NE,TE,27,3,0,2,4.2,5.2,106
Jordan Franks,CIN,TE,37,2,0,1,4.7,5.2,106
Dave Williams,JAX,RB,36,0,0,3,3.6,5.1000000000000005,114
NA,NA,NA,29,3,0,1,4.4,4.9,12
Shaun Wilson,TB,RB,34,3,0,0,4.9,4.9,115
NA,NA,NA,42,0,0,1,4.2,4.7,13
Justin Hunter,PIT,WR,21,3,0,2,3.6,4.6,182
Charone Peake,NYJ,WR,25,2,0,2,3.5,4.5,183
Nick Bellore,DET,FB,15,4,0,2,3.5,4.5,11
Jimmy Garoppolo,SF,QB,34,0,0,2,3.4000000000000004,4.4,43
Brian Quick,WAS,WR,18,3,0,2,3.3000000000000003,4.300000000000001,184
Taylor Heinicke,CAR,QB,33,0,0,2,3.3000000000000003,4.300000000000001,44
Josh McCown,NYJ,QB,32,0,0,2,3.2,4.2,45
Jeremy Hill,NE,RB,31,1,0,1,3.6,4.1,116
Benny Cunningham,CHI,RB,29,1,0,1,3.4,3.9,117
Orson Charles,CLE,TE,23,3,0,0,3.8,3.8,108
Malik Turner,SEA,WR,20,2,0,1,3.0000000000000004,3.5000000000000004,185
Derrick Coleman,ARI,FB,20,2,0,1,3,3.5,12
C.J. Prosise,SEA,RB,19,3,0,0,3.4000000000000004,3.4000000000000004,118
Sean Culkin,LAC,TE,24,1,0,1,2.9000000000000004,3.4000000000000004,109
Brandon Zylstra,MIN,WR,23,1,0,1,2.8000000000000003,3.3000000000000003,186
Tyrone Swoopes,SEA,TE,23,1,0,1,2.8000000000000003,3.3000000000000003,110
Terrance Williams,DAL,WR,18,2,0,1,2.8000000000000003,3.3000000000000003,186
Gehrig Dieter,KC,WR,22,1,0,1,2.7,3.2,189
KhaDarel Hodge,LA,WR,17,2,0,1,2.7,3.2,189
Nick Williams,LA,WR,17,2,0,1,2.7,3.2,189
Chase Daniel,CHI,QB,17,1,0,2,2.2,3.1999999999999997,46
De'Lance Turner,BAL,RB,21,2,0,0,3.1000000000000005,3.1000000000000005,119
NA,NA,NA,26,0,0,1,2.6,3.1,14
