QB,RB,RB,WR,WR,WR,TE,DST,FLEX,Proj
Aaron Rodgers ($6300),Dalvin Cook ($7900),Austin Ekeler ($7000),Adam Thielen ($6700),Terry McLaurin ($5600),Marquise Brown ($5100),Chris Herndon ($3300),Patriots ($3200),Allen Lazard ($4900),135.4
Teddy Bridgewater ($5900),Christian McCaffrey ($10000),Dalvin Cook ($7900),T.Y. Hilton ($5800),Terry McLaurin ($5600),Marquise Brown ($5100),Ian Thomas ($3400),Cardinals ($2100),Bryan Edwards ($4200),135.4
Cam Newton ($6100),Alvin Kamara ($7200),Miles Sanders ($6300),Adam Thielen ($6700),Julian Edelman ($6000),DK Metcalf ($5800),Mike Gesicki ($4500),Lions ($2700),Preston Williams ($4500),135.4
Russell Wilson ($7000),Josh Jacobs ($6800),Todd Gurley II ($6100),Julio Jones ($7700),Calvin Ridley ($6100),DK Metcalf ($5800),Tyler Eifert ($3300),Jets ($2100),Marquise Brown ($5100),135.3
Tom Brady ($6500),Alvin Kamara ($7200),Antonio Gibson ($4000),Michael Thomas ($9000),Calvin Ridley ($6100),Marquise Brown ($5100),Mark Andrews ($6000),Cardinals ($2100),Tre'Quan Smith ($4000),135.3
Matt Ryan ($6700),Tevin Coleman ($4200),Antonio Gibson ($4000),Julio Jones ($7700),Kenny Golladay ($6200),Calvin Ridley ($6100),Mark Andrews ($6000),Patriots ($3200),DK Metcalf ($5800),135.2
Dwayne Haskins Jr. ($5000),Todd Gurley II ($6100),Ronald Jones II ($5200),Michael Thomas ($9000),Kenny Golladay ($6200),Terry McLaurin ($5600),Zach Ertz ($5800),Cardinals ($2100),DeSean Jackson ($4900),135.2
Carson Wentz ($6300),Dalvin Cook ($7900),Antonio Gibson ($4000),Julio Jones ($7700),Davante Adams ($7300),Adam Thielen ($6700),Dallas Goedert ($4100),Raiders ($2600),Dontrelle Inman ($3400),135.2
Jimmy Garoppolo ($5800),Alvin Kamara ($7200),Miles Sanders ($6300),Michael Thomas ($9000),Mike Evans ($6900),Marquise Brown ($5100),O.J. Howard ($3700),Raiders ($2600),Dontrelle Inman ($3400),135.2
Kirk Cousins ($5700),Dalvin Cook ($7900),Tevin Coleman ($4200),Michael Thomas ($9000),Adam Thielen ($6700),Kenny Golladay ($6200),Robert Tonyan ($2500),Dolphins ($2000),DK Metcalf ($5800),135.1
