QB,RB,RB,WR,WR,WR,TE,DST,FLEX,Proj
Jimmy Garoppolo ($5800),Christian McCaffrey ($10000),Dalvin Cook ($7900),DJ Moore ($6600),Odell Beckham Jr. ($5900),Robby Anderson ($4700),Logan Thomas ($2800),Jets ($2100),Bryan Edwards ($4200),130.7
Mitchell Trubisky ($5400),Dalvin Cook ($7900),Alvin Kamara ($7200),Kenny Golladay ($6200),Odell Beckham Jr. ($5900),Terry McLaurin ($5600),Jimmy Graham ($3800),Colts ($3000),Anthony Miller ($5000),130.7
Carson Wentz ($6300),Christian McCaffrey ($10000),Alvin Kamara ($7200),T.Y. Hilton ($5800),Chris Conley ($4000),Keelan Cole ($3800),Mark Andrews ($6000),Chargers ($2800),Chris Thompson ($4000),130.7
Drew Brees ($6800),Alvin Kamara ($7200),Matt Breida ($5000),Davante Adams ($7300),DK Metcalf ($5800),T.Y. Hilton ($5800),O.J. Howard ($3700),Lions ($2700),Emmanuel Sanders ($5700),130.7
Josh Allen ($6500),Christian McCaffrey ($10000),Kerryon Johnson ($4400),DJ Moore ($6600),T.Y. Hilton ($5800),Curtis Samuel ($4600),Zach Ertz ($5800),Dolphins ($2000),Bryan Edwards ($4200),130.7
Drew Brees ($6800),Alvin Kamara ($7200),Todd Gurley II ($6100),Chris Godwin ($7100),Adam Thielen ($6700),Tyler Lockett ($6500),Chris Herndon ($3300),Jaguars ($2300),Scotty Miller ($4000),130.7
Drew Brees ($6800),Christian McCaffrey ($10000),Antonio Gibson ($4000),Calvin Ridley ($6100),Terry McLaurin ($5600),Robby Anderson ($4700),Darren Waller ($5900),Lions ($2700),Bryan Edwards ($4200),130.7
Ryan Fitzpatrick ($5300),Alvin Kamara ($7200),Miles Sanders ($6300),DeVante Parker ($6000),Terry McLaurin ($5600),N'Keal Harry ($4400),George Kittle ($7200),Colts ($3000),Matt Breida ($5000),130.7
Matt Ryan ($6700),Christian McCaffrey ($10000),Kerryon Johnson ($4400),Adam Thielen ($6700),DJ Moore ($6600),DeSean Jackson ($4900),Ian Thomas ($3400),Chargers ($2800),Hunter Renfrow ($4500),130.7
Carson Wentz ($6300),Alvin Kamara ($7200),Miles Sanders ($6300),Chris Godwin ($7100),Calvin Ridley ($6100),Emmanuel Sanders ($5700),Dallas Goedert ($4100),Patriots ($3200),Tre'Quan Smith ($4000),130.7
Matt Ryan ($6700),Christian McCaffrey ($10000),Tevin Coleman ($4200),Tyler Lockett ($6500),Calvin Ridley ($6100),Marquise Brown ($5100),Dallas Goedert ($4100),Colts ($3000),Russell Gage ($4300),130.7
Joe Burrow ($5800),Alvin Kamara ($7200),Joe Mixon ($6700),Davante Adams ($7300),Tyler Boyd ($6100),A.J. Green ($5700),Logan Thomas ($2800),Jets ($2100),Miles Sanders ($6300),130.7
Mitchell Trubisky ($5400),Josh Jacobs ($6800),Tarik Cohen ($4900),Michael Thomas ($9000),Kenny Golladay ($6200),Calvin Ridley ($6100),T.J. Hockenson ($4200),Jets ($2100),Anthony Miller ($5000),130.6
Matthew Stafford ($6200),Dalvin Cook ($7900),Joe Mixon ($6700),Calvin Ridley ($6100),DK Metcalf ($5800),Marvin Jones Jr. ($5500),T.J. Hockenson ($4200),Raiders ($2600),Anthony Miller ($5000),130.6
Aaron Rodgers ($6300),Dalvin Cook ($7900),Chris Carson ($6200),Adam Thielen ($6700),T.Y. Hilton ($5800),Olabisi Johnson ($4100),Zach Ertz ($5800),Dolphins ($2000),Ronald Jones II ($5200),130.6
Josh Allen ($6500),Alvin Kamara ($7200),James White ($6000),Kenny Golladay ($6200),Julian Edelman ($6000),Preston Williams ($4500),George Kittle ($7200),WAS Football Team ($2000),N'Keal Harry ($4400),130.6
Cam Newton ($6100),Christian McCaffrey ($10000),Alvin Kamara ($7200),Adam Thielen ($6700),Allen Lazard ($4900),Olabisi Johnson ($4100),Kyle Rudolph ($3700),Ravens ($3100),Tevin Coleman ($4200),130.6
Lamar Jackson ($8100),Austin Ekeler ($7000),Joe Mixon ($6700),Deebo Samuel ($5300),Marquise Brown ($5100),Christian Kirk ($5000),George Kittle ($7200),Raiders ($2600),Chris Thompson ($3000),130.6
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Todd Gurley II ($6100),Terry McLaurin ($5600),Marvin Jones Jr. ($5500),Greg Ward ($4200),Zach Ertz ($5800),Colts ($3000),Antonio Gibson ($4000),130.6
Jimmy Garoppolo ($5800),Christian McCaffrey ($10000),Joe Mixon ($6700),DJ Moore ($6600),Terry McLaurin ($5600),Marquise Brown ($5100),Foster Moreau ($2500),Patriots ($3200),Hunter Renfrow ($4500),130.6
Lamar Jackson ($8100),Joe Mixon ($6700),Chris Carson ($6200),Davante Adams ($7300),Kenny Golladay ($6200),Marvin Jones Jr. ($5500),T.J. Hockenson ($4200),Cardinals ($2100),Ted Ginn Jr. ($3700),130.5
Matthew Stafford ($6200),Christian McCaffrey ($10000),Joe Mixon ($6700),Julian Edelman ($6000),T.Y. Hilton ($5800),Preston Williams ($4500),Mike Gesicki ($4500),Ravens ($3100),Damiere Byrd ($3200),130.5
Kirk Cousins ($5700),Christian McCaffrey ($10000),Todd Gurley II ($6100),Odell Beckham Jr. ($5900),Marquise Brown ($5100),Preston Williams ($4500),Mark Andrews ($6000),Lions ($2700),Willie Snead IV ($4000),130.5
Carson Wentz ($6300),Aaron Jones ($6900),Mark Ingram II ($5500),Julio Jones ($7700),Davante Adams ($7300),Terry McLaurin ($5600),Logan Thomas ($2800),Colts ($3000),DeSean Jackson ($4900),130.5
Gardner Minshew II ($5800),Christian McCaffrey ($10000),Todd Gurley II ($6100),Davante Adams ($7300),Mike Evans ($6900),Chris Conley ($4000),Tyler Eifert ($3300),Lions ($2700),Parris Campbell ($3900),130.5
Baker Mayfield ($5700),Miles Sanders ($6300),J.K. Dobbins ($5000),Davante Adams ($7300),Calvin Ridley ($6100),Odell Beckham Jr. ($5900),Zach Ertz ($5800),Dolphins ($2000),Jarvis Landry ($5900),130.5
Jimmy Garoppolo ($5800),Dalvin Cook ($7900),Joe Mixon ($6700),Adam Thielen ($6700),Odell Beckham Jr. ($5900),DK Metcalf ($5800),Kyle Rudolph ($3700),Saints ($2400),Allen Lazard ($4900),130.5
Lamar Jackson ($8100),Alvin Kamara ($7200),Antonio Gibson ($4000),Mike Evans ($6900),Adam Thielen ($6700),Jarvis Landry ($5900),Nick Boyle ($3300),Panthers ($2500),Marquise Brown ($5100),130.5
Tom Brady ($6500),Christian McCaffrey ($10000),Alvin Kamara ($7200),Julian Edelman ($6000),DeVante Parker ($6000),N'Keal Harry ($4400),Devin Asiasi ($3500),Seahawks ($2400),Antonio Gibson ($4000),130.5
Russell Wilson ($7000),Austin Ekeler ($7000),Todd Gurley II ($6100),Tyler Lockett ($6500),DK Metcalf ($5800),T.Y. Hilton ($5800),Greg Olsen ($4000),Cardinals ($2100),Terry McLaurin ($5600),130.5
Cam Newton ($6100),Austin Ekeler ($7000),Joe Mixon ($6700),Keenan Allen ($6400),T.Y. Hilton ($5800),Terry McLaurin ($5600),Hunter Henry ($5300),Ravens ($3100),Antonio Gibson ($4000),130.5
Jimmy Garoppolo ($5800),Miles Sanders ($6300),J.K. Dobbins ($5000),Julio Jones ($7700),Davante Adams ($7300),Marquise Brown ($5100),Mark Andrews ($6000),Chargers ($2800),Willie Snead IV ($4000),130.5
Philip Rivers ($6000),Dalvin Cook ($7900),Austin Ekeler ($7000),Davante Adams ($7300),T.Y. Hilton ($5800),Marquise Brown ($5100),Mo Alie-Cox ($2600),Bills ($3700),Laviska Shenault Jr. ($4400),130.4
Josh Allen ($6500),Dalvin Cook ($7900),Alvin Kamara ($7200),Marquise Brown ($5100),Breshad Perriman ($4900),Cole Beasley ($4800),Chris Herndon ($3300),Eagles ($3600),Joe Mixon ($6700),130.4
Tyrod Taylor ($5600),Dalvin Cook ($7900),Alvin Kamara ($7200),Keenan Allen ($6400),Marvin Jones Jr. ($5500),Chris Thompson ($3000),Hunter Henry ($5300),Jets ($2100),Austin Ekeler ($7000),130.4
Baker Mayfield ($5700),Alvin Kamara ($7200),Todd Gurley II ($6100),Adam Thielen ($6700),Calvin Ridley ($6100),Odell Beckham Jr. ($5900),Austin Hooper ($5100),WAS Football Team ($2000),Marquise Brown ($5100),130.4
Drew Brees ($6800),Chris Carson ($6200),Ronald Jones II ($5200),Davante Adams ($7300),Mike Evans ($6900),Adam Thielen ($6700),O.J. Howard ($3700),WAS Football Team ($2000),Marquise Brown ($5100),130.4
Tyrod Taylor ($5600),Dalvin Cook ($7900),Chris Carson ($6200),Michael Thomas ($9000),Davante Adams ($7300),Robby Anderson ($4700),Irv Smith Jr. ($3100),Cardinals ($2100),Marquez Valdes-Scantling ($4100),130.4
Carson Wentz ($6300),Alvin Kamara ($7200),Joe Mixon ($6700),Davante Adams ($7300),Mike Evans ($6900),Terry McLaurin ($5600),O.J. Howard ($3700),Jaguars ($2300),Scotty Miller ($4000),130.4
Matt Ryan ($6700),Joe Mixon ($6700),Chris Carson ($6200),Julio Jones ($7700),Calvin Ridley ($6100),Terry McLaurin ($5600),Will Dissly ($3400),Jets ($2100),Marvin Jones Jr. ($5500),130.4
Baker Mayfield ($5700),Miles Sanders ($6300),Chris Carson ($6200),Mike Evans ($6900),Jarvis Landry ($5900),T.Y. Hilton ($5800),Mark Andrews ($6000),Cardinals ($2100),Marquise Brown ($5100),130.4
Matt Ryan ($6700),Christian McCaffrey ($10000),Alvin Kamara ($7200),DK Metcalf ($5800),Terry McLaurin ($5600),Larry Fitzgerald ($4500),Will Dissly ($3400),Patriots ($3200),David Moore ($3600),130.4
Matt Ryan ($6700),Christian McCaffrey ($10000),Josh Jacobs ($6800),T.Y. Hilton ($5800),Robby Anderson ($4700),Bryan Edwards ($4200),Foster Moreau ($2500),Patriots ($3200),Todd Gurley II ($6100),130.4
Teddy Bridgewater ($5900),Christian McCaffrey ($10000),Alvin Kamara ($7200),Adam Thielen ($6700),DK Metcalf ($5800),Robby Anderson ($4700),Foster Moreau ($2500),Bills ($3700),Dontrelle Inman ($3400),130.4
Lamar Jackson ($8100),James White ($6000),Matt Breida ($5000),Michael Thomas ($9000),Kenny Golladay ($6200),Terry McLaurin ($5600),Devin Asiasi ($3500),Jets ($2100),N'Keal Harry ($4400),130.4
Cam Newton ($6100),James White ($6000),Matt Breida ($5000),Mike Evans ($6900),Adam Thielen ($6700),Kenny Golladay ($6200),Mark Andrews ($6000),Raiders ($2600),Preston Williams ($4500),130.4
Tom Brady ($6500),Miles Sanders ($6300),Antonio Gibson ($4000),Michael Thomas ($9000),Tyler Lockett ($6500),Terry McLaurin ($5600),Zach Ertz ($5800),Jaguars ($2300),JJ Arcega-Whiteside ($3900),130.3
Tyrod Taylor ($5600),Dalvin Cook ($7900),Alvin Kamara ($7200),Mike Evans ($6900),T.Y. Hilton ($5800),Emmanuel Sanders ($5700),Josh Hill ($2800),Seahawks ($2400),Terry McLaurin ($5600),130.3
Jimmy Garoppolo ($5800),Josh Jacobs ($6800),Miles Sanders ($6300),DeAndre Hopkins ($6800),T.Y. Hilton ($5800),Christian Kirk ($5000),Zach Ertz ($5800),Ravens ($3100),Larry Fitzgerald ($4500),130.3
Kirk Cousins ($5700),Dalvin Cook ($7900),Chris Carson ($6200),Chris Godwin ($7100),Adam Thielen ($6700),Allen Lazard ($4900),Tyler Eifert ($3300),WAS Football Team ($2000),Todd Gurley II ($6100),130.3
Aaron Rodgers ($6300),Dalvin Cook ($7900),Antonio Gibson ($4000),Davante Adams ($7300),Mike Evans ($6900),Tyler Lockett ($6500),Irv Smith Jr. ($3100),Jaguars ($2300),Marvin Jones Jr. ($5500),130.3
Lamar Jackson ($8100),Christian McCaffrey ($10000),Josh Jacobs ($6800),Terry McLaurin ($5600),Deebo Samuel ($5300),Larry Fitzgerald ($4500),Jordan Reed ($3000),Bills ($3700),Chris Thompson ($3000),130.3
Tom Brady ($6500),Joe Mixon ($6700),Antonio Gibson ($4000),Chris Godwin ($7100),Mike Evans ($6900),Tyler Lockett ($6500),O.J. Howard ($3700),Lions ($2700),DK Metcalf ($5800),130.3
Matt Ryan ($6700),Dalvin Cook ($7900),Joe Mixon ($6700),Adam Thielen ($6700),Tyler Lockett ($6500),Calvin Ridley ($6100),Jaeden Graham ($2900),Ravens ($3100),Dontrelle Inman ($3400),130.3
Matt Ryan ($6700),Alvin Kamara ($7200),Chris Carson ($6200),Michael Thomas ($9000),Chris Godwin ($7100),Marquise Brown ($5100),Mo Alie-Cox ($2600),WAS Football Team ($2000),Scotty Miller ($4000),130.2
Gardner Minshew II ($5800),Christian McCaffrey ($10000),Chris Thompson ($4000),Adam Thielen ($6700),Kenny Golladay ($6200),Terry McLaurin ($5600),Jack Doyle ($3600),Patriots ($3200),Laviska Shenault Jr. ($4400),130.2
Lamar Jackson ($8100),Dalvin Cook ($7900),Miles Sanders ($6300),Jarvis Landry ($5900),DeSean Jackson ($4900),Willie Snead IV ($4000),Mark Andrews ($6000),Raiders ($2600),Tevin Coleman ($4200),130.2
Tyrod Taylor ($5600),Alvin Kamara ($7200),Josh Jacobs ($6800),Michael Thomas ($9000),DK Metcalf ($5800),Emmanuel Sanders ($5700),Robert Tonyan ($2500),Cardinals ($2100),Ronald Jones II ($5200),130.2
Matt Ryan ($6700),Alvin Kamara ($7200),Tarik Cohen ($4900),Julio Jones ($7700),Tyler Lockett ($6500),Kenny Golladay ($6200),Dallas Goedert ($4100),Ravens ($3100),David Moore ($3600),130.2
Lamar Jackson ($8100),Todd Gurley II ($6100),Mark Ingram II ($5500),Adam Thielen ($6700),Jarvis Landry ($5900),Dontrelle Inman ($3400),George Kittle ($7200),Jets ($2100),J.K. Dobbins ($5000),130.2
Tyrod Taylor ($5600),Austin Ekeler ($7000),Todd Gurley II ($6100),Davante Adams ($7300),Calvin Ridley ($6100),Tyler Boyd ($6100),Dallas Goedert ($4100),Dolphins ($2000),A.J. Green ($5700),130.2
Josh Allen ($6500),Christian McCaffrey ($10000),Alvin Kamara ($7200),Odell Beckham Jr. ($5900),Jarvis Landry ($5900),Marquise Brown ($5100),Charles Scarff ($2500),Vikings ($2500),N'Keal Harry ($4400),130.1
Dwayne Haskins Jr. ($5000),Joe Mixon ($6700),J.D. McKissic ($4000),Davante Adams ($7300),Adam Thielen ($6700),Terry McLaurin ($5600),Zach Ertz ($5800),Bills ($3700),Marquise Brown ($5100),130.1
Derek Carr ($5900),Christian McCaffrey ($10000),Austin Ekeler ($7000),Davante Adams ($7300),Henry Ruggs III ($5100),DeSean Jackson ($4900),Ian Thomas ($3400),Saints ($2400),Antonio Gibson ($4000),130.1
Cam Newton ($6100),Miles Sanders ($6300),Todd Gurley II ($6100),Michael Thomas ($9000),DeVante Parker ($6000),Marvin Jones Jr. ($5500),Devin Asiasi ($3500),Ravens ($3100),N'Keal Harry ($4400),130.1
Josh Allen ($6500),Dalvin Cook ($7900),J.K. Dobbins ($5000),Odell Beckham Jr. ($5900),T.Y. Hilton ($5800),Marquise Brown ($5100),George Kittle ($7200),Seahawks ($2400),Miles Boykin ($4100),130.1
Tom Brady ($6500),Alvin Kamara ($7200),Joe Mixon ($6700),Julio Jones ($7700),Mike Evans ($6900),Preston Williams ($4500),Rob Gronkowski ($4900),Raiders ($2600),Chris Thompson ($3000),130.1
Cam Newton ($6100),Christian McCaffrey ($10000),James White ($6000),DeVante Parker ($6000),T.Y. Hilton ($5800),DeSean Jackson ($4900),Dallas Goedert ($4100),Ravens ($3100),Jakeem Grant ($3900),130.1
Tom Brady ($6500),Alvin Kamara ($7200),Miles Sanders ($6300),Tyler Lockett ($6500),Marquise Brown ($5100),Preston Williams ($4500),Jared Cook ($5500),Colts ($3000),Ronald Jones II ($5200),130.1
Drew Brees ($6800),Alvin Kamara ($7200),J.K. Dobbins ($5000),Michael Thomas ($9000),Mike Evans ($6900),Allen Lazard ($4900),Ian Thomas ($3400),Jaguars ($2300),Preston Williams ($4500),130.1
Tom Brady ($6500),Christian McCaffrey ($10000),Miles Sanders ($6300),Tyler Lockett ($6500),Calvin Ridley ($6100),Phillip Dorsett II ($4200),Hayden Hurst ($4300),Ravens ($3100),Chris Thompson ($3000),130.1
Jimmy Garoppolo ($5800),Christian McCaffrey ($10000),James White ($6000),Julian Edelman ($6000),DeVante Parker ($6000),Terry McLaurin ($5600),Chris Herndon ($3300),Chargers ($2800),Preston Williams ($4500),130.1
Drew Brees ($6800),Dalvin Cook ($7900),Alvin Kamara ($7200),Mike Evans ($6900),Odell Beckham Jr. ($5900),N'Keal Harry ($4400),O.J. Howard ($3700),Falcons ($2300),Tarik Cohen ($4900),130.1
Russell Wilson ($7000),Christian McCaffrey ($10000),Kerryon Johnson ($4400),Julio Jones ($7700),Calvin Ridley ($6100),Parris Campbell ($3900),Hayden Hurst ($4300),Patriots ($3200),Cordarrelle Patterson ($3400),130.1
Matthew Stafford ($6200),Christian McCaffrey ($10000),Todd Gurley II ($6100),Adam Thielen ($6700),DJ Moore ($6600),Robby Anderson ($4700),Irv Smith Jr. ($3100),WAS Football Team ($2000),Curtis Samuel ($4600),130.1
Tyrod Taylor ($5600),Alvin Kamara ($7200),Austin Ekeler ($7000),Michael Thomas ($9000),A.J. Green ($5700),Jalen Guyton ($3000),Irv Smith Jr. ($3100),Ravens ($3100),Miles Sanders ($6300),130.1
Tyrod Taylor ($5600),Austin Ekeler ($7000),Josh Jacobs ($6800),Adam Thielen ($6700),DK Metcalf ($5800),A.J. Green ($5700),Hunter Henry ($5300),Patriots ($3200),Parris Campbell ($3900),130.1
Ryan Fitzpatrick ($5300),Josh Jacobs ($6800),Matt Breida ($5000),Davante Adams ($7300),Kenny Golladay ($6200),Julian Edelman ($6000),Mike Gesicki ($4500),Ravens ($3100),Terry McLaurin ($5600),130
Kirk Cousins ($5700),Alvin Kamara ($7200),Miles Sanders ($6300),DeAndre Hopkins ($6800),Deebo Samuel ($5300),DeSean Jackson ($4900),George Kittle ($7200),Jets ($2100),Larry Fitzgerald ($4500),130
Lamar Jackson ($8100),Alvin Kamara ($7200),J.K. Dobbins ($5000),Tyler Lockett ($6500),Odell Beckham Jr. ($5900),Miles Boykin ($4100),Zach Ertz ($5800),Bills ($3700),Dontrelle Inman ($3400),130
Drew Brees ($6800),Josh Jacobs ($6800),Ronald Jones II ($5200),Chris Godwin ($7100),Mike Evans ($6900),DK Metcalf ($5800),Chris Herndon ($3300),Eagles ($3600),Preston Williams ($4500),130
Tom Brady ($6500),Alvin Kamara ($7200),Josh Jacobs ($6800),Chris Godwin ($7100),Emmanuel Sanders ($5700),Preston Williams ($4500),Mark Andrews ($6000),Falcons ($2300),Parris Campbell ($3900),130
Tom Brady ($6500),Tarik Cohen ($4900),Kerryon Johnson ($4400),Michael Thomas ($9000),Chris Godwin ($7100),Kenny Golladay ($6200),O.J. Howard ($3700),Colts ($3000),Marquise Brown ($5100),130
Drew Brees ($6800),Alvin Kamara ($7200),Tarik Cohen ($4900),Michael Thomas ($9000),Kenny Golladay ($6200),DeSean Jackson ($4900),Mike Gesicki ($4500),Vikings ($2500),Scotty Miller ($4000),130
Lamar Jackson ($8100),Christian McCaffrey ($10000),Todd Gurley II ($6100),Marquise Brown ($5100),N'Keal Harry ($4400),Miles Boykin ($4100),Irv Smith Jr. ($3100),Eagles ($3600),Mark Ingram II ($5500),130
Lamar Jackson ($8100),Josh Jacobs ($6800),Tarik Cohen ($4900),Odell Beckham Jr. ($5900),DK Metcalf ($5800),Marquise Brown ($5100),George Kittle ($7200),WAS Football Team ($2000),Willie Snead IV ($4000),130
Gardner Minshew II ($5800),Joe Mixon ($6700),Todd Gurley II ($6100),Michael Thomas ($9000),T.Y. Hilton ($5800),Laviska Shenault Jr. ($4400),Mark Andrews ($6000),Cardinals ($2100),Parris Campbell ($3900),130
Tom Brady ($6500),Christian McCaffrey ($10000),Josh Jacobs ($6800),Michael Thomas ($9000),Tre'Quan Smith ($4000),Parris Campbell ($3900),O.J. Howard ($3700),Lions ($2700),Dontrelle Inman ($3400),130
Carson Wentz ($6300),Chris Carson ($6200),J.K. Dobbins ($5000),Julio Jones ($7700),Tyler Lockett ($6500),Calvin Ridley ($6100),Dallas Goedert ($4100),Jaguars ($2300),DK Metcalf ($5800),130
Kyler Murray ($6400),Josh Jacobs ($6800),Jerick McKinnon ($4000),Adam Thielen ($6700),T.Y. Hilton ($5800),Christian Kirk ($5000),George Kittle ($7200),Patriots ($3200),DeSean Jackson ($4900),130
Jimmy Garoppolo ($5800),Dalvin Cook ($7900),Alvin Kamara ($7200),Julio Jones ($7700),DeVante Parker ($6000),Damiere Byrd ($3200),Mike Gesicki ($4500),Lions ($2700),Matt Breida ($5000),130
Matthew Stafford ($6200),Alvin Kamara ($7200),D'Andre Swift ($4900),Davante Adams ($7300),T.Y. Hilton ($5800),Marvin Jones Jr. ($5500),Mark Andrews ($6000),Jets ($2100),Anthony Miller ($5000),129.9
Lamar Jackson ($8100),Alvin Kamara ($7200),Josh Jacobs ($6800),Davante Adams ($7300),Kenny Golladay ($6200),Danny Amendola ($4800),Jimmy Graham ($3800),Seahawks ($2400),Cordarrelle Patterson ($3400),129.9
Cam Newton ($6100),Dalvin Cook ($7900),Ryan Nall ($4000),Michael Thomas ($9000),Davante Adams ($7300),Terry McLaurin ($5600),Kyle Rudolph ($3700),Falcons ($2300),Olabisi Johnson ($4100),129.9
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Alvin Kamara ($7200),Chris Godwin ($7100),Parris Campbell ($3900),Dontrelle Inman ($3400),Rob Gronkowski ($4900),Seahawks ($2400),Ronald Jones II ($5200),129.9
Cam Newton ($6100),Christian McCaffrey ($10000),Alvin Kamara ($7200),Tyler Lockett ($6500),Julian Edelman ($6000),Jakeem Grant ($3900),Tyler Eifert ($3300),WAS Football Team ($2000),Matt Breida ($5000),129.9
Josh Allen ($6500),Dalvin Cook ($7900),Mark Ingram II ($5500),Chris Godwin ($7100),Terry McLaurin ($5600),Marquise Brown ($5100),Mark Andrews ($6000),Jaguars ($2300),Willie Snead IV ($4000),129.9
Lamar Jackson ($8100),Christian McCaffrey ($10000),Tarik Cohen ($4900),Marquise Brown ($5100),Henry Ruggs III ($5100),Robby Anderson ($4700),Darren Waller ($5900),Chargers ($2800),Dontrelle Inman ($3400),129.9
Tom Brady ($6500),Austin Ekeler ($7000),Miles Sanders ($6300),Chris Godwin ($7100),Mike Evans ($6900),T.Y. Hilton ($5800),Tyler Eifert ($3300),Ravens ($3100),Tre'Quan Smith ($4000),129.9
Lamar Jackson ($8100),Joe Mixon ($6700),Ronald Jones II ($5200),Michael Thomas ($9000),Chris Godwin ($7100),N'Keal Harry ($4400),Chris Herndon ($3300),Cardinals ($2100),Tre'Quan Smith ($4000),129.9
Lamar Jackson ($8100),Dalvin Cook ($7900),Matt Breida ($5000),Julio Jones ($7700),Marquise Brown ($5100),Miles Boykin ($4100),Mark Andrews ($6000),Cardinals ($2100),Parris Campbell ($3900),129.9
Tom Brady ($6500),Alvin Kamara ($7200),Chris Carson ($6200),Adam Thielen ($6700),Kenny Golladay ($6200),Emmanuel Sanders ($5700),Josh Hill ($2800),Eagles ($3600),Marquise Brown ($5100),129.8
Drew Brees ($6800),Christian McCaffrey ($10000),Alvin Kamara ($7200),Chris Godwin ($7100),Emmanuel Sanders ($5700),Cordarrelle Patterson ($3400),Ian Thomas ($3400),Dolphins ($2000),Kerryon Johnson ($4400),129.8
Teddy Bridgewater ($5900),Christian McCaffrey ($10000),Dalvin Cook ($7900),Marvin Jones Jr. ($5500),Henry Ruggs III ($5100),DeSean Jackson ($4900),Dallas Goedert ($4100),Jets ($2100),Hunter Renfrow ($4500),129.8
Tyrod Taylor ($5600),Josh Jacobs ($6800),Joe Mixon ($6700),Chris Godwin ($7100),Keenan Allen ($6400),Kenny Golladay ($6200),Irv Smith Jr. ($3100),Dolphins ($2000),Tyler Boyd ($6100),129.8
Aaron Rodgers ($6300),Dalvin Cook ($7900),Chris Carson ($6200),Davante Adams ($7300),Calvin Ridley ($6100),Allen Lazard ($4900),Mike Gesicki ($4500),Saints ($2400),N'Keal Harry ($4400),129.8
Tom Brady ($6500),Todd Gurley II ($6100),Ronald Jones II ($5200),Davante Adams ($7300),Mike Evans ($6900),T.Y. Hilton ($5800),Jared Cook ($5500),Bills ($3700),Chris Thompson ($3000),129.8
Ryan Fitzpatrick ($5300),Dalvin Cook ($7900),James White ($6000),Julio Jones ($7700),Kenny Golladay ($6200),T.Y. Hilton ($5800),Mike Gesicki ($4500),Jets ($2100),Preston Williams ($4500),129.8
Tom Brady ($6500),Alvin Kamara ($7200),Ryan Nall ($4000),Davante Adams ($7300),Emmanuel Sanders ($5700),Terry McLaurin ($5600),Jared Cook ($5500),Ravens ($3100),DeSean Jackson ($4900),129.8
Matt Ryan ($6700),Christian McCaffrey ($10000),Antonio Gibson ($4000),DJ Moore ($6600),Kenny Golladay ($6200),Henry Ruggs III ($5100),Jack Doyle ($3600),Ravens ($3100),Robby Anderson ($4700),129.8
Cam Newton ($6100),Alvin Kamara ($7200),Tevin Coleman ($4200),Davante Adams ($7300),Chris Godwin ($7100),DeVante Parker ($6000),Mike Gesicki ($4500),Bills ($3700),Jakeem Grant ($3900),129.8
Drew Brees ($6800),Josh Jacobs ($6800),Antonio Gibson ($4000),DJ Moore ($6600),DeVante Parker ($6000),Terry McLaurin ($5600),Zach Ertz ($5800),Bills ($3700),Steven Sims Jr. ($4700),129.7
Carson Wentz ($6300),Josh Jacobs ($6800),Kenyan Drake ($6400),Kenny Golladay ($6200),Terry McLaurin ($5600),DeSean Jackson ($4900),George Kittle ($7200),Saints ($2400),Greg Ward ($4200),129.7
Tom Brady ($6500),Todd Gurley II ($6100),Antonio Gibson ($4000),Michael Thomas ($9000),Mike Evans ($6900),Kenny Golladay ($6200),Rob Gronkowski ($4900),Chargers ($2800),Dontrelle Inman ($3400),129.7
Jimmy Garoppolo ($5800),Austin Ekeler ($7000),Miles Sanders ($6300),Michael Thomas ($9000),Davante Adams ($7300),Deebo Samuel ($5300),Jordan Reed ($3000),Patriots ($3200),Chris Thompson ($3000),129.7
Philip Rivers ($6000),Christian McCaffrey ($10000),Chris Carson ($6200),Michael Thomas ($9000),DeSean Jackson ($4900),Laviska Shenault Jr. ($4400),Tyler Eifert ($3300),Dolphins ($2000),Parris Campbell ($3900),129.7
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Josh Jacobs ($6800),Calvin Ridley ($6100),Julian Edelman ($6000),N'Keal Harry ($4400),Mike Gesicki ($4500),Lions ($2700),Jakeem Grant ($3900),129.7
Lamar Jackson ($8100),Christian McCaffrey ($10000),Austin Ekeler ($7000),T.Y. Hilton ($5800),Zach Pascal ($4200),Chris Conley ($4000),Mo Alie-Cox ($2600),Dolphins ($2000),Todd Gurley II ($6100),129.7
Matt Ryan ($6700),Aaron Jones ($6900),Kenyan Drake ($6400),Mike Evans ($6900),Terry McLaurin ($5600),DeSean Jackson ($4900),Zach Ertz ($5800),Ravens ($3100),Dontrelle Inman ($3400),129.7
Kirk Cousins ($5700),Dalvin Cook ($7900),Todd Gurley II ($6100),Davante Adams ($7300),Calvin Ridley ($6100),Terry McLaurin ($5600),Marcedes Lewis ($3000),Bills ($3700),Preston Williams ($4500),129.7
Dwayne Haskins Jr. ($5000),Christian McCaffrey ($10000),Austin Ekeler ($7000),Michael Thomas ($9000),Marquise Brown ($5100),Greg Ward ($4200),Dallas Goedert ($4100),Jets ($2100),Dontrelle Inman ($3400),129.7
Drew Brees ($6800),Alvin Kamara ($7200),Tarik Cohen ($4900),Julio Jones ($7700),Emmanuel Sanders ($5700),Terry McLaurin ($5600),Mark Andrews ($6000),Jets ($2100),Tre'Quan Smith ($4000),129.7
