QB,RB,RB,WR,WR,WR,TE,DST,FLEX,Proj
Josh Allen ($6500),Alvin Kamara ($7200),Josh Jacobs ($6800),Chris Godwin ($7100),Mike Evans ($6900),Terry McLaurin ($5600),Chris Herndon ($3300),Patriots ($3200),Dontrelle Inman ($3400),137.7
Matt Ryan ($6700),Christian McCaffrey ($10000),Antonio Gibson ($4000),Adam Thielen ($6700),Tyler Lockett ($6500),DK Metcalf ($5800),Tyler Eifert ($3300),Jets ($2100),DeSean Jackson ($4900),137.7
Tyrod Taylor ($5600),Joe Mixon ($6700),Miles Sanders ($6300),Michael Thomas ($9000),Adam Thielen ($6700),Terry McLaurin ($5600),Dallas Goedert ($4100),Dolphins ($2000),Antonio Gibson ($4000),137.7
Russell Wilson ($7000),Dalvin Cook ($7900),Alvin Kamara ($7200),Tyler Lockett ($6500),Kenny Golladay ($6200),DK Metcalf ($5800),Logan Thomas ($2800),Patriots ($3200),Dontrelle Inman ($3400),137.6
Matt Ryan ($6700),Dalvin Cook ($7900),Tevin Coleman ($4200),Davante Adams ($7300),Kenny Golladay ($6200),Calvin Ridley ($6100),Robert Tonyan ($2500),Patriots ($3200),T.Y. Hilton ($5800),137.6
Jimmy Garoppolo ($5800),Christian McCaffrey ($10000),Josh Jacobs ($6800),Davante Adams ($7300),T.Y. Hilton ($5800),Robby Anderson ($4700),Ian Thomas ($3400),Patriots ($3200),Chris Thompson ($3000),137.5
Cam Newton ($6100),Christian McCaffrey ($10000),Dalvin Cook ($7900),Adam Thielen ($6700),Marquise Brown ($5100),Preston Williams ($4500),Chris Herndon ($3300),WAS Football Team ($2000),N'Keal Harry ($4400),137.5
Josh Allen ($6500),Christian McCaffrey ($10000),Tevin Coleman ($4200),Tyler Lockett ($6500),Calvin Ridley ($6100),DK Metcalf ($5800),Chris Herndon ($3300),Dolphins ($2000),Terry McLaurin ($5600),137.5
Mitchell Trubisky ($5400),Dalvin Cook ($7900),Todd Gurley II ($6100),Adam Thielen ($6700),Kenny Golladay ($6200),T.Y. Hilton ($5800),T.J. Hockenson ($4200),Cardinals ($2100),Terry McLaurin ($5600),137.5
Matt Ryan ($6700),Alvin Kamara ($7200),Miles Sanders ($6300),Julio Jones ($7700),Chris Godwin ($7100),Terry McLaurin ($5600),Hayden Hurst ($4300),Jets ($2100),Chris Thompson ($3000),137.5
Mitchell Trubisky ($5400),Christian McCaffrey ($10000),Alvin Kamara ($7200),Kenny Golladay ($6200),T.Y. Hilton ($5800),Marvin Jones Jr. ($5500),Tyler Eifert ($3300),Eagles ($3600),Chris Thompson ($3000),137.4
Tom Brady ($6500),Christian McCaffrey ($10000),Antonio Gibson ($4000),Michael Thomas ($9000),DK Metcalf ($5800),Terry McLaurin ($5600),Robert Tonyan ($2500),Patriots ($3200),Dontrelle Inman ($3400),137.4
Tyrod Taylor ($5600),Dalvin Cook ($7900),J.K. Dobbins ($5000),Davante Adams ($7300),Calvin Ridley ($6100),Marquise Brown ($5100),Mark Andrews ($6000),Cardinals ($2100),DeSean Jackson ($4900),137.4
Cam Newton ($6100),Alvin Kamara ($7200),Antonio Gibson ($4000),Michael Thomas ($9000),Chris Godwin ($7100),Kenny Golladay ($6200),Chris Herndon ($3300),Raiders ($2600),Preston Williams ($4500),137.4
Jimmy Garoppolo ($5800),Dalvin Cook ($7900),Alvin Kamara ($7200),Chris Godwin ($7100),T.Y. Hilton ($5800),Dontrelle Inman ($3400),George Kittle ($7200),Raiders ($2600),Chris Thompson ($3000),137.4
Lamar Jackson ($8100),Christian McCaffrey ($10000),Todd Gurley II ($6100),Adam Thielen ($6700),DeSean Jackson ($4900),Robby Anderson ($4700),Ian Thomas ($3400),Lions ($2700),Dontrelle Inman ($3400),137.3
Lamar Jackson ($8100),Dalvin Cook ($7900),Tevin Coleman ($4200),Kenny Golladay ($6200),Odell Beckham Jr. ($5900),Terry McLaurin ($5600),Zach Ertz ($5800),Chargers ($2800),Dontrelle Inman ($3400),137.3
Dwayne Haskins Jr. ($5000),Christian McCaffrey ($10000),Dalvin Cook ($7900),T.Y. Hilton ($5800),Terry McLaurin ($5600),DeSean Jackson ($4900),Chris Herndon ($3300),Chargers ($2800),Robby Anderson ($4700),137.3
Carson Wentz ($6300),Alvin Kamara ($7200),Todd Gurley II ($6100),Tyler Lockett ($6500),DK Metcalf ($5800),T.Y. Hilton ($5800),Hayden Hurst ($4300),Ravens ($3100),DeSean Jackson ($4900),137.3
