QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Matt Ryan,Saquon Barkley,Sony Michel,Michael Thomas,Julio Jones,Anthony Miller,Noah Fant,Jacksonville Jaguars,Jaeden Graham,129.91,92.44
Carson Wentz,Saquon Barkley,Phillip Lindsay,Michael Thomas,Julian Edelman,Tim Patrick,Zach Ertz,Denver Broncos,Dallas Goedert,129.9,116.74
Ryan Tannehill,Le'Veon Bell,David Montgomery,Michael Thomas,D.J. Chark,Devante Parker,Jonnu Smith,New Orleans Saints,Miles Sanders,129.9,126.26
Jameis Winston,Alvin Kamara,Brian Hill,Julio Jones,D.J. Chark,Tyler Boyd,Dallas Goedert,Chicago Bears,Russell Gage,129.88,128.72
Baker Mayfield,Saquon Barkley,Devin Singletary,Michael Thomas,Julio Jones,Demaryius Thomas,Mike Gesicki,Detroit Lions,Albert Wilson,129.87,125.58
Ryan Fitzpatrick,Alvin Kamara,Le'Veon Bell,Julio Jones,Mike Evans,Russell Gage,Darren Waller,Miami Dolphins,Anthony Miller,129.83,116.26
Matt Ryan,Leonard Fournette,Chris Carson,Mike Evans,Calvin Ridley,Tim Patrick,Noah Fant,New England Patriots,James White,129.81,101.84
Russell Wilson,Saquon Barkley,David Montgomery,Michael Thomas,Devante Parker,Taylor Gabriel,Vance McDonald,Jacksonville Jaguars,Tarik Cohen,129.78,86.2
Matt Ryan,Alvin Kamara,Le'Veon Bell,Golden Tate,Devante Parker,Hunter Renfrow,Darren Waller,Buffalo Bills,Ryan Griffin,129.78,108.54
Ryan Fitzpatrick,Alvin Kamara,James White,Michael Thomas,Courtland Sutton,Golden Tate,Noah Fant,New Orleans Saints,Dawson Knox,129.76,102.76
Matt Ryan,Derrick Henry,Bo Scarbrough,Michael Thomas,D.J. Moore,Ted Ginn,Darren Waller,New Orleans Saints,Vance McDonald,129.73,133.44
Ryan Fitzpatrick,Chris Carson,James White,Michael Thomas,Mike Evans,Odell Beckham Jr,Vance McDonald,Seattle Seahawks,Allen Hurns,129.71,126.46
Matt Ryan,Leonard Fournette,Phillip Lindsay,Michael Thomas,Courtland Sutton,Cole Beasley,Darren Waller,Tampa Bay Buccaneers,Dawson Knox,129.68,132.94
Josh Allen,Alvin Kamara,Derrick Henry,Michael Thomas,Jamison Crowder,Tim Patrick,Noah Fant,Seattle Seahawks,Mike Gesicki,129.67,139.1
Jameis Winston,Derrick Henry,David Montgomery,Michael Thomas,Julian Edelman,Golden Tate,Benjamin Watson,Detroit Lions,N'Keal Harry,129.67,141.62
Ryan Fitzpatrick,Alvin Kamara,Derrick Henry,Michael Thomas,D.J. Moore,Anthony Miller,Jared Cook,Detroit Lions,Tyler Eifert,129.63,185.56
Matt Ryan,Alvin Kamara,Phillip Lindsay,Chris Godwin,Calvin Ridley,Golden Tate,Noah Fant,Miami Dolphins,Sony Michel,129.63,123.24
