QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Patrick Mahomes,Marlon Mack,Leonard Fournette,Larry Fitzgerald,Marvin Jones,Demarcus Robinson,Evan Engram,Seattle Seahawks,Phillip Lindsay,138.49,114.7
Jameis Winston,Marlon Mack,Leonard Fournette,Keenan Allen,Brandin Cooks,Robert Woods,Evan Engram,Houston Texans,Vernon Davis,138.46,142.9
Marcus Mariota,Leonard Fournette,Chris Thompson,Julio Jones,Keenan Allen,Larry Fitzgerald,Delanie Walker,Chicago Bears,Christian Kirk,138.45,118.28
Matthew Stafford,David Montgomery,Devonta Freeman,Keenan Allen,Sammy Watkins,Tyler Lockett,Travis Kelce,Los Angeles Chargers,Mike Gesicki,138.45,104.94
Russell Wilson,Phillip Lindsay,Kenyan Drake,Mike Evans,Cooper Kupp,Robert Woods,Darren Waller,Los Angeles Chargers,Larry Fitzgerald,138.41,145.8
Patrick Mahomes,Christian McCaffrey,Kenyan Drake,Kenny Golladay,Sterling Shepard,Larry Fitzgerald,Evan Engram,Houston Texans,Vernon Davis,138.4,136.4
Jacoby Brissett,Christian McCaffrey,David Johnson,Keenan Allen,Marquise Brown,Devante Parker,Darren Waller,Seattle Seahawks,Dontrelle Inman,138.4,153.2
Matthew Stafford,David Johnson,Wayne Gallman,Keenan Allen,Kenny Golladay,Marquise Brown,Mark Andrews,Chicago Bears,Marvin Jones,138.37,155.64
Philip Rivers,Chris Carson,Devonta Freeman,Keenan Allen,Cooper Kupp,Mecole Hardman,Travis Kelce,Baltimore Ravens,T.J. Hockenson,138.32,130.7
Patrick Mahomes,Josh Jacobs,Adrian Peterson,Keenan Allen,Larry Fitzgerald,Marvin Jones,Travis Kelce,Cleveland Browns,D.K. Metcalf,138.31,93.9
Kyler Murray,Leonard Fournette,Chris Thompson,Keenan Allen,Tyler Lockett,Tyrell Williams,Darren Waller,New England Patriots,D.K. Metcalf,138.29,127.24
Patrick Mahomes,Marlon Mack,Leonard Fournette,Cooper Kupp,Robert Woods,D.J. Moore,Greg Olsen,Los Angeles Chargers,Kenny Stills,138.27,142.0
Patrick Mahomes,Devonta Freeman,Wayne Gallman,Odell Beckham Jr,Sammy Watkins,Marquise Brown,Greg Olsen,Los Angeles Chargers,Mecole Hardman,138.24,100.8
Kyler Murray,Austin Ekeler,Nick Chubb,Sammy Watkins,Tyler Lockett,Paul Richardson,Evan Engram,Los Angeles Rams,Will Dissly,138.2,143.84
Patrick Mahomes,David Johnson,Nick Chubb,Keenan Allen,Courtland Sutton,Chris Conley,Travis Kelce,Denver Broncos,James O'Shaughnessy,138.18,151.2
Patrick Mahomes,David Johnson,Phillip Lindsay,Cooper Kupp,Brandin Cooks,Chris Godwin,Greg Olsen,Denver Broncos,Curtis Samuel,138.17,150.9
Kyler Murray,Austin Ekeler,Devonta Freeman,Tyler Lockett,Larry Fitzgerald,D.J. Moore,Darren Waller,Los Angeles Chargers,Greg Olsen,138.15,116.54
Jacoby Brissett,Kerryon Johnson,Phillip Lindsay,DeAndre Hopkins,Keenan Allen,Tyrell Williams,Darren Waller,Baltimore Ravens,Curtis Samuel,138.07,98.3
Patrick Mahomes,Nick Chubb,Chris Carson,Cooper Kupp,Brandin Cooks,Demarcus Robinson,Travis Kelce,Carolina Panthers,Dontrelle Inman,138.07,177.4
Patrick Mahomes,Chris Carson,David Montgomery,Keenan Allen,D.J. Moore,Will Fuller,Travis Kelce,Arizona Cardinals,Kenny Stills,138.06,98.6
Patrick Mahomes,Christian McCaffrey,Austin Ekeler,Tyler Lockett,Demarcus Robinson,Keesean Johnson,Mark Andrews,Carolina Panthers,Will Dissly,138.03,150.4
Case Keenum,James White,Rex Burkhead,Keenan Allen,Odell Beckham Jr,Tyler Lockett,Evan Engram,Houston Texans,Sterling Shepard,137.99,75.18
Patrick Mahomes,David Johnson,Josh Jacobs,Keenan Allen,Allen Robinson,Stefon Diggs,T.J. Hockenson,Minnesota Vikings,Mecole Hardman,137.97,115.6
